CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kama:P60001,ima vrstu agenta,kama:C10006,"Povezuje agenta s izrazom koji označava je li agent osoba, kolektivni agent, korporativno tijelo ili obitelj.",kamjo:P10001,,
kama:P60002,je agent povezan s jedinicom opisa,kama:C10006,Povezuje agenta s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10008
kama:P60003,je agent povezan s djelom,kama:C10006,Povezuje agenta s djelom.,kama:P60002,kamd:C10002,kamd:P20035
kama:P60004,je agent povezan s izrazom,kama:C10006,Povezuje agenta s izrazom.,kama:P60002,kami:C10003,kami:P30032
kama:P60005,je agent povezan s pojavnim oblikom,kama:C10006,Povezuje agenta s pojavnim oblikom.,kama:P60002,kampo:C10004,kampo:P40095
kama:P60006,je agent povezan s primjerkom,kama:C10006,Povezuje agenta s primjerkom.,kama:P60002,kamp:C10005,kamp:P50025
kama:P60007,je agent povezan s agentom,kama:C10006,Povezuje agenta s agentom.,kama:P60002,kama:C10006,kama:P60007
kama:P60008,je agent povezan s osobom,kama:C10006,Povezuje agenta s osobom.,kama:P60007,kamo:C10007,kamo:P70201
kama:P60009,je agent povezan s kolektivnim agentom,kama:C10006,Povezuje agenta s kolektivnim agentom.,kama:P60007,kamka:C10008,kamka:P80010
kama:P60010,je agent povezan s mjestom,kama:C10006,Povezuje agenta s mjestom.,kama:P60002,kamjo:C100011,kamm:P11023
kama:P60011,je agent povezan s vremenskim rasponom,kama:C10006,Povezuje agenta s vremenskim rasponom.,kama:P60002,kamjo:C100012,kamvr:P12017
kama:P60012,je agent čije ovlasti proizlaze iz djela,kama:C10006,"Povezuje agenta čije se ovlasti, funkcije i odgovornosti temelje na djelu s tim djelom.",kama:P60003,kamd:C10002,kamd:P20040
kama:P60013,je agent navodni stvaratelj ,kama:C10006,"Povezuje agenta čija je stvaralačka uloga u nastanku djela pogrešna, lažna ili izmišljena s tim djelom.",kama:P60003,kamd:C10002,kamd:P20045
kama:P60014,je agent nositelj prava intelektualnog vlasništva,kama:C10006,"Povezuje agenta koji nad djelom uživa imovinska autorska prava ili pravo industrijskog vlasništva (patent, oznaka izvornosti itd.) s tim djelom.",kama:P60003,kamd:C10002,kamd:P20050
kama:P60015,je agent pretpostavljeni stvaratelj,kama:C10006,"Povezuje agenta koji se opravdano smatra stvarateljem djela, ali njegova stvaralačka uloga nije pouzdano utvrđena ili dokazana s tim djelom.",kama:P60003,kamd:C10002,kamd:P20055
kama:P60016,je agent stvaratelj,kama:C10006,Povezuje agenta s djelom kojeg je stvorio.,kama:P60003,kamd:C10002,kamd:P20060
kama:P60017,je agent koji daje intervju,kama:C10006,Povezuje agenta koji u pisanom ili usmenom obliku odgovara na pitanja koja mu postavlja voditelj intervjua s tim djelom.,kama:P60016,kamd:C10002,kamd:P20065
kama:P60018,je agent arhitekt,kama:C10006,"Povezuje agenta odgovornog za projekt građevine ili drugog prostornog kompleksa, uključujući koordinaciju projektnog tima s tim djelom",kama:P60016,kamd:C10002,kamd:P20070
kama:P60019,je agent krajobrazni arhitekt,kama:C10006,Povezuje agenta odgovornog za planiranje i oblikovanje krajobraza s tim djelom.,kama:P60016,kamd:C10002,kamd:P20075
kama:P60020,je autor izložbe,kama:C10006,"Povezuje agenta odgovornog za koncepciju izložbe, uključujući istraživački rad, izradu scenarija izložbe, koordinaciju stručnjaka i stručnih timova itd. s tim djelom.",kama:P60016,kamd:C10002,kamd:P20080
kama:P60021,je autor performansa,kama:C10006,Povezuje agenta koji je autor performansa s tim djelom.,kama:P60016,kamd:C10002,kamd:P20085
kama:P60022,je autor teksta,kama:C10006,Povezuje agent odgovoranog za djelo izraženo u tekstualnom obliku s tim djelom.,kama:P60016,kamd:C10002,kamd:P20090
kama:P60023,je copyrighter,kama:C10006,Povezuje agenta koji je osmislio tekst reklame s tim djelom.,kama:P60016,kamd:C10002,kamd:P20095
kama:P60024,je korespondent,kama:C10006,"Povezuje agenta koji je osmislio i poslao tekstualnu poruku (pismo, poruku elektroničke pošte itd.) s tim djelom.",kama:P60016,kamd:C10002,kamd:P20100
kama:P60025,je disertant,kama:C10006,Povezuje agenta koji u akademskoj raspravi brani disertaciju radi stjecanja akademskog stupnja s tim djelom.,kama:P60016,kamd:C10002,kamd:P20125
kama:P60026,je libretist,kama:C10006,"Povezuje agenta odgovornog za tekst libreta glazbeno-scenskog djela (opere, operete itd.) ili oratorija s tim djelom.",kama:P60016,kamd:C10002,kamd:P20105
kama:P60027,je pisac,kama:C10006,Povezuje agenta koji je osmislio književno djelo s tim djelom.,kama:P60016,kamd:C10002,kamd:P20110
kama:P60028,je scenarist,kama:C10006,"Povezuje agenta odgovornog za ideju i sinopsis i/ili scenarij radijskog ili televizijskog programa, stripa, video igre ili drugog narativnog djela iskazanog u slikovnom obliku, osim filma s tim djelom.",kama:P60016,kamd:C10002,kamd:P20115
kama:P60029,je tekstopisac,kama:C10006,Povezuje agenta odgovornog za tekst pjevanog glazbenog djela s tim djelom.,kama:P60016,kamd:C10002,kamd:P20120
kama:P60030,je dizajner,kama:C10006,Povezuje agenta odgovornog za funkcionalno i/ili vizualno oblikovanje industrijskog predmeta (industrijski dizajner) ili komunikacijsku formu (grafički dizajner) s tim djelom.,kama:P60016,kamd:C10002,kamd:P20127
kama:P60031,je glavni i odgovorni urednik,kama:C10006,"Povezuje agenta odgovornog za uredničku politiku i sadržaj neomeđene jedinice građe (časopisa, novina, nakladničke cjeline, mrežnih stranica, bloga itd.) s tim djelom.",kama:P60016,kamd:C10002,kamd:P20132
kama:P60032,je govornik,kama:C10006,"Povezuje agenta koji je održao govor, predavanje, propovijed ili drugi oblik usmenog obraćanja publici s tim djelom.",kama:P60016,kamd:C10002,kamd:P20134
kama:P60033,je istraživač,kama:C10006,Povezuje agenta odgovornog za koncepciju i provedbu istraživanja s tim djelom.,kama:P60016,kamd:C10002,kamd:P20136
kama:P60034,je član istraživačke skupine,kama:C10006,Povezuje agenta koji sudjeluje u skupini koja je osmislila i provela istraživanje s tim djelom.,kama:P60016,kamd:C10002,kamd:P20141
kama:P60035,je voditelj istraživačke skupine,kama:C10006,Povezuje agenta koji nadzire rad skupine koja je osmislila i provela istraživanje s tim djelom.,kama:P60016,kamd:C10002,kamd:P20143
kama:P60036,je izumitelj,kama:C10006,Povezuje agenta odgovornog za osmišljavanje i razvoj nove vrste predmeta ili tehnološkog postupka s tim djelom.,kama:P60016,kamd:C10002,kamd:P20145
kama:P60037,je kartograf,kama:C10006,"Povezuje agenta koji je stvorio kartu, atlas ili drugi kartografski prikaz u analognom ili digitalnom obliku s tim djelom.",kama:P60016,kamd:C10002,kamd:P20150
kama:P60038,je koreograf,kama:C10006,Povezuje agenta koji je osmislio ples ili drugi oblik izvedbene umjetnosti koji se temelji na pokretima tijela s tim djelom.,kama:P60016,kamd:C10002,kamd:P20155
kama:P60039,je likovni umjetnik,kama:C10006,Povezuje agenta koji je osmislio djelo likovne umjetnosti s tim djelom.,kama:P60016,kamd:C10002,kamd:P20160
kama:P60040,je crtač,kama:C10006,Povezuje agenta koji je osmislio crtež s tim djelom.,kama:P60016,kamd:C10002,kamd:P20165
kama:P60041,je fotograf,kama:C10006,"Povezuje agenta koji je osmislio fotografiju ili djelo sastavljeno od fotografija (fotografski album, fotomonografiju itd.) s tim djelom.",kama:P60016,kamd:C10002,kamd:P20167
kama:P60042,je grafičar,kama:C10006,Povezuje agenta koji je osmislio djelo grafičke umjetnosti s tim djelom.,kama:P60016,kamd:C10002,kamd:P20172
kama:P60043,je kipar,kama:C10006,"Povezuje agenta koji je osmislio i oblikovao trodimenzionalno likovno djelo, uključujući kipove, reljefe i arhitektonsku plastiku s tim djelom.",kama:P60016,kamd:C10002,kamd:P20177
kama:P60044,je medaljer,kama:C10006,"Povezuje agenta koji je osmislio i oblikovao medalju, plaketu, novčić ili drugo djelo sitne, najčešće metalne plastike s tim djelom.",kama:P60016,kamd:C10002,kamd:P20182
kama:P60045,je slikar,kama:C10006,Povezuje agenta koji je stvorio slikarsko djelo s tim djelom.,kama:P60016,kamd:C10002,kamd:P20187
kama:P60046,je nositelj projekta,kama:C10006,Povezuje agenta koji upravlja znanstvenim ili razvojnim projektom i odgovoran je za sve aspekte projekta s tim djelom.,kama:P60016,kamd:C10002,kamd:P20192
kama:P60047,je praeses,kama:C10006,"Povezuje agenta koji predsjedava akademskom raspravom (predsjednik ispita), a često je odgovoran i za odabir teme disertacije i oblikovanje teze s tim djelom.",kama:P60016,kamd:C10002,kamd:P20197
kama:P60048,je priređivač,kama:C10006,"Povezuje agenta koji je prikupio, sabrao i uredio više izraza djela drugih agenata u jedinstveno novo djelo poput antologije, zbornika, kompilacije i sl. s tim djelom.",kama:P60016,kamd:C10002,kamd:P20199
kama:P60049,je programer,kama:C10006,Povezuje agenta koji je stvorio kôd računalnog programa ili aplikacije s tim djelom.,kama:P60016,kamd:C10002,kamd:P20203
kama:P60050,je redatelj,kama:C10006,"Povezuje agenta odgovornog za koncepciju i nadzor nad stvaranjem filma, televizijskog programa, djela videoumjetnosti, scenskog djela i sl. s tim djelom.",kama:P60016,kamd:C10002,kamd:P20207
kama:P60051,je filmski redatelj,kama:C10006,Povezuje agenta odgovornog za koncepciju i nadzor nad snimanjem filma s tim djelom.,kama:P60016,kamd:C10002,kamd:P20209
kama:P60052,je kazališni redatelj,kama:C10006,Povezuje agenta odgovornog za koncepciju i nadzor nad stvaranjem scenskog djela s tim djelom.,kama:P60016,kamd:C10002,kamd:P20211
