CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamd:P20001,ima razinu opisa djela,kamd:C10002,"Povezuje djelo s nadziranim nazivom, kôdom ili drugom oznakom koja označava razinu specifičnosti opisa djela u informacijskom sustavu, uključujući položaj unutar hijerarhije djelâ koja su s njim povezana odnosom cjeline i dijela. ",,,
kamd:P20002,ima opis sadržaja djela,kamd:C10002,Povezuje djelo s kratkim nestrukturiranim tekstom koji objašnjava o čemu je ili što prikazuje jedinica građe.,,,
kamd:P20003,ima geografsku dužinu i geografsku širinu,kamd:C10002,"Povezuje djelo s izrazom koji je naveden na kartografskoj jedinici građe, a označava položaj mjesta prikazanog na karti Zemlje ili nekog drugog nebeskog tijela, mjereno od početnog meridijana u pravcu istoka ili zapada te od ekvatora u pravcu sjevera ili juga.",,,
kamd:P20004,ima napomenu o geografskoj dužini i geografskoj širini,kamd:C10002,Povezuje djelo s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o geografskoj dužini i geografskoj širini prikaza na jedinici građe.,kamd:P20311,,
kamd:P20005,ima rektascenziju i deklinaciju,kamd:C10002,"Povezuje djelo s izrazom koji je naveden na kartografskoj jedinici građe, a označava položaj područja neba: kutnu udaljenost mjerenu prema istoku na ekvatoru od proljetne ravnodnevice do satnog kruga nebeskog tijela, od 0 do 24 sata, te kutnu udaljenost do nebeskog tijela mjerenu sjeverno ili južno pomoću 90˚ od nebeskog ekvatora uzduž kruga tijela u satu.",,,
kamd:P20006,ima ravnodnevicu,kamd:C10002,"Povezuje djelo s izrazom koji se javlja na kartografskoj jedinici građe, a označava jednu ili dvije točke sjecišta ekliptičnog i nebeskog ekvatora, zauzetog Suncem kad je njegova deklinacija 0˚.",,,
kamd:P20007,ima ciljanu publiku djela,kamd:C10002,"Povezuje djelo s  izrazom, nadziranim nazivom, kodom, identifikatorom ili drugom oznakom koja označava društvenu skupinu kojoj je djelo sadržano u jedinici građe primarno namijenjeno ili za koju se smatra prikladnim s obzirom na dob, zanimanje, stupanj obrazovanja, posebne intelektualne ili društvene potrebe i druge značajke.",,,
kamd:P20008,ima napomenu o ciljanoj publici djela,kamd:C10002,"Povezuje djelo s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja, tumačenja i druge pojedinosti o društvenoj skupini za koju je djelo sadržano u jedinici građe primarno namijenjeno ili za koju se smatra prikladnim.",kamd:P20311,,
kamd:P20009,ima povod nastanka,kamd:C10002,"Povezuje djelo s tekstom koji identificira politički, društveni, ekonomski, kulturni, vjerski ili drugi događaj ili situaciju koja je potaknula stvaranje jedinice građe.",,,
kamd:P20010,ima nagrade,kamd:C10002,"Povezuje djelo s nadziranim nazivom, identifikatorom ili drugom nadziranom oznakom koja označava nagrade i priznanja dodijeljene jedinici građe, uključujući nagrade i priznanja na festivalima, izložbama, salonima, sajmovima i drugim strukovnim ili prigodnim manifestacijama.
",,,
kamd:P20011,ima napomenu o nagradama,kamd:C10002,"Povezuje djelo s nestrukturiranim tekstom koji sadržava pojedinosti o nagradama i priznanjima dodijeljenima djelu sadržanom u jedinici građe, uključujući nagrade i priznanja na festivalima, izložbama, salonima, sajmovima i drugim strukovnim ili prigodnim manifestacijama. ",kamd:P20311,,
kamd:P20012,ima plan sređivanja,kamd:C10002,Povezuje djelo sa strukturiranim ili nestrukturiranim tekstom u kojemu se objašnjava sadašnji i/ili planirani sustav organizacije fonda ili zbirke.,,,
kamd:P20013,ima dopune,kamd:C10002,Povezuje djelo s tekstom koji pruža informacije o mogućem dopunjavanju arhivskog fonda.,,,
kamd:P20014,"ima odabir, izlučivanje i rokove čuvanja",kamd:C10002,"Povezuje djelo s kratkim nestrukturiranim tekstom koji sadržava podatke o vrednovanju, odabiranju i izlučivanju građe iz cjeline arhivskog gradiva te o učincima tih postupaka.
",,,
kamd:P20015,ima učestalost izlaženja ili osuvremenjivanja,kamd:C10002,"Povezuje djelo s izrazom ili tekstom koji sadržava informacije o predviđenom vremenskom rasponu izlaženja narednog dijela serijske publikacije ili osuvremenjivanja integrirajuće publikacije.
",,,
kamd:P20016,ima povijest djela,kamd:C10002,"Povezuje djelo s tekstom koji sadržava pojedinosti o nastanku, recepciji i interpretaciji djela.",,,
kamd:P20017,je djelo povezano s jedinicom opisa,kamd:C10002,Povezuje djelo s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10004
kamd:P20018,je djelo povezano s djelom,kamd:C10002,Povezuje djelo s djelom.,kamd:P20017,kamd:C10002,kamd:P20018
kamd:P20019,ima dio djelo,kamd:C10002,Povezuje djelo s djelom koji mu je izvorno dio.   ,kamd:P20018,kamd:C10002,kamd:P20020
kamd:P20020,je dio djela,kamd:C10002,Povezuje djelo s djelom kojega je izvorno dio.   ,kamd:P20018,kamd:C10002,kamd:P20019
kamd:P20021,je dopuna djelu,kamd:C10002,Povezuje djelo s djelom koje je nastalo kao prilog ili dopuna tome djelu.,kamd:P20018,kamd:C10002,kamd:P20022
kamd:P20022,ima dopunu djelo,kamd:C10002,Povezuje djelo s djelom kojega je prilog ili dopuna.,kamd:P20018,kamd:C10002,kamd:P20021
kamd:P20023,prethodi djelu,kamd:C10002,Povezuje djelo s djelom čiji sadržaj prethodi drugom djelu.,kamd:P20018,kamd:C10002,kamd:P20024
kamd:P20024,slijedi djelo,kamd:C10002,Povezuje djelo s djelom čiji se sadržaj nastavlja u drugom djelu.,kamd:P20018,kamd:C10002,kamd:P20023
kamd:P20025,je prerađeno u djelo,kamd:C10002,"Povezuje djelo s djelom koje je prerađeno u novo djelo prilagodbom drugoj vrsti publike ili promjenom oblika sadržaja, žanra, stila, narativnih elemenata i sl.",kamd:P20018,kamd:C10002,kamd:P20026
kamd:P20026,je preradba djela,kamd:C10002,"Povezuje djelo koje je prerađeno u novo djelo prilagodbom drugoj vrsti publike ili promjenom oblika sadržaja, žanra, stila, narativnih elemenata i sl. s izvornim djelom.",kamd:P20018,kamd:C10002,kamd:P20025
kamd:P20027,je prisvojeno u djelu,kamd:C10002,"Povezuje djelo s djelom ili dijelom djela koje ga preuzima, citira ili oponaša.  ",kamd:P20018,kamd:C10002,kamd:P20028
kamd:P20028,prisvaja djelo,kamd:C10002,"Povezuje djelo ili dio djela s djelom koje ga je preuzelo, citiralo ili oponašalo.  ",kamd:P20018,kamd:C10002,kamd:P20027
kamd:P20029,je promijenjeno u djelo,kamd:C10002,Povezuje djelo s djelom koje je stvoreno promjenom plana izdavanja i/ili uredničke politike.,kamd:P20018,kamd:C10002,kamd:P20030
kamd:P20030,je nastalo promjenom djela,kamd:C10002,Povezuje djelo koje je stvoreno promjenom plana izdavanja i/ili uredničke politike jednoga djela stvoreno s izvornim djelom.,kamd:P20018,kamd:C10002,kamd:P20029
kamd:P20031,je replika djela,kamd:C10002,"Povezuje djelo koje je prostorni objekt (skulptura, uporabni predmet ili sl.) oblikovan s namjerom da vjerno prenese izgled drugog prostornog objekta s izvornim djelom.",kamd:P20018,kamd:C10002,kamd:P20032
kamd:P20032,je replicirano u djelu,kamd:C10002,"Povezuje izvorno djelo koje je prostorni objekt (skulptura, uporabni predmet ili sl.)  s djelom oblikovanim s namjerom da vjerno prenese izgled drugog prostornog objekta.",kamd:P20018,kamd:C10002,kamd:P20031
kamd:P20033,je djelo povezano s izrazom,kamd:C10002,Povezuje djelo s izrazom.,kamd:P20017,kami:C10003,kami:P30021
kamd:P20034,je realizirano u izrazu,kamd:C10002,Povezuje djelo s izrazom kroz koji je realizirano.,kamd:P20033,kami:C10003,kami:P30022
kamd:P20035,je djelo povezano s agentom,kamd:C10002,Povezuje djelo s agentom.,kamd:P20017,kama:C10006,kama:P60003
kamd:P20036,je povezano s osobom,kamd:C10002,Povezuje djelo s osobom.,kamd:P20035,kamo:C10007,kamo:P70019
kamd:P20037,je povezano s kolektivnim agentom,kamd:C10002,Povezuje djelo s kolektivnim agentom.,kamd:P20035,kamka:C10008,kamka:P80003
kamd:P20038,je povezano s korporativnim tijelom,kamd:C10002,Povezuje djelo s korporativnim tijelom.,kamd:P20037,kamkt:C10009,kamkt:P90010
kamd:P20039,je povezano s obitelji,kamd:C10002,Povezuje djelo s obitelji.,kamd:P20027,kamob:C10010,kamob:P10010
kamd:P20040,ima agenta čije ovlasti prouzlaze iz djela,kamd:C10002,"Povezuje djelo s agentom čije se ovlasti, funkcije i odgovornosti temelje na djelu.",kamd:P20035,kama:C10006,kama:P60012
kamd:P20041,ima osobu čije ovlasti prouzlaze iz djela,kamd:C10002,"Povezuje djelo s osobom čije se ovlasti, funkcije i odgovornosti temelje na djelu.",kamd:P20040,kamo:C10007,kamo:P70023
