CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamka:P80001,ima vrstu kolektivnog agenta,kamka:C10008,Povezuje kolektivnog agenta s izrazom koji označava je li kolektivni agent korporativno tijelo ili obitelj.,kama:P60001,,
kamka:P80002,je kolektivni agent povezan s jedinicom opisa,kamka:C10008,,kama:P60002,kamjo:C10001,kamjo:P10010
kamka:P80003,je kolektivni agent povezan s djelom,kamka:C10008,Povezuje kolektivnog agentaa s djelom.,kamka:P80002,kamd:C10002,kamd:P20037
kamka:P80004,je kolektivni agent povezan s izrazom,kamka:C10008,Povezuje kolektivnog agenta s izrazom.,kamka:P80002,kami:C10003,kami:P30034
kamka:P80005,je kolektivni agent povezan s pojavnim oblikom,kamka:C10008,Povezuje kolektivnog agenta s pojavnim oblikom.,kamka:P80002,kampo:C10004,kampo:P40097
kamka:P80006,je kolektivni agent povezan s primjerkom,kamka:C10008,Povezuje kolektivnog agenta s primjerkom.,kamka:P80002,kamp:C10005,kamp:P50027
kamka:P80007,ima nomen povezan s kolektivnim agentom,kamka:C10008,Povezuje kolektivni agent s nomenom.,kamka:P80002,kamn:C10013,kamn:P13097
kamka:P80008,je kolektivni agent povezan s mjestom,kamka:C10008,Povezuje kolektivnog agenta s mjestom.,kamka:P80002,kamm:C10011,kamm:P11030
kamka:P80009,je kolektivni agent povezan s vremenskim rasponom,kamka:C10008,Povezuje kolektivnog agenta s vremenskim rasponom.,kamka:P80002,kamvr:C10012,kamvr:P12023
kamka:P80010,je kolektivni agent povezan s agentom,kamka:C10008,Povezuje kolektivnog agenta s agentom.,kamka:P80002,kama:C10006,kama:P60009
kamka:P80011,je kolektivni agent povezan s kolektivnim agentom,kamka:C10008,Povezuje kolektivnog agenta s kolektivnim agentom.,kamka:P80010,kamka:C10008,kamka:P80011
kamka:P80012,je kolektivni agent povezan s korporativnim tijelom,kamka:C10008,Povezuje kolektivni agent s korporativnim tijelom.,kamka:P80011,kamkt:C10009,kamkt:P90190
kamka:P80013,je kolektivni agent povezan s obitelji,kamka:C10008,Povezuje kolektivni agent s obitelji.,kamka:P80011,kamob:C10010,kamob:P10189
kamka:P80014,je kolektivni agent čije ovlasti proizlaze iz djela,kamka:C10008,"Povezuje kolektivnog agenta čije se ovlasti, funkcije i odgovornosti temelje na djelu s tim djelom.",kamka:P80003,kamd:C10002,kamd:P20042
kamka:P80015,je kolektivni agent navodni stvaratelj djela,kamka:C10008,"Povezuje kolektivnog agenta čija je stvaralačka uloga u nastanku djela pogrešna, lažna ili izmišljena s tim djelom.",kamka:P80003,kamd:C10002,kamd:P20047
kamka:P80016,je kolektivni agent nositelj prava intelektualnog vlasništva djela,kamka:C10008,"Povezuje kolektivnog agenta koji nad djelom uživa imovinska autorska prava ili pravo industrijskog vlasništva (patent, oznaka izvornosti itd.) s tim djelom.",kamka:P80003,kamd:C10002,kamd:P20052
kamka:P80017,je kolektivni agent pretpostavljeni stvaratelj djela,kamka:C10008,"Povezuje kolektivnog agenta koji se opravdano smatra stvarateljem djela, ali njegova stvaralačka uloga nije pouzdano utvrđena ili dokazana s tim djelom.",kamka:P80003,kamd:C10002,kamd:P20057
kamka:P80018,je kolektivni agent stvaratelj djela,kamka:C10008,Povezuje kolektivnog agenta s djelom kojeg je stvorio.,kamka:P80003,kamd:C10002,kamd:P20062
kamka:P80019,je kolektivni agent koji daje intervju,kamka:C10008,Povezuje agent koji u pisanom ili usmenom obliku odgovara na pitanja koja mu postavlja voditelj intervjua s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20067
kamka:P80020,je arhitekt,kamka:C10008,"Povezuje kolektivnog agenta odgovornog za projekt građevine ili drugog prostornog kompleksa, uključujući koordinaciju projektnog tima s tim djelom.",kamka:P80018,kamd:C10002,kamd:P20072
kamka:P80021,je krajobrazni arhitekt,kamka:C10008,Povezuje kolektivnog agenta odgovornog za planiranje i oblikovanje krajobraza s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20077
kamka:P80022,je autor izložbe,kamka:C10008,"Povezuje kolektivnog agenta odgovornog za koncepciju izložbe, uključujući istraživački rad, izradu scenarija izložbe, koordinaciju stručnjaka i stručnih timova itd. s tim djelom.",kamka:P80018,kamd:C10002,kamd:P20082
kamka:P80023,je autor performansa,kamka:C10008,Povezuje kolektivnog agenta koji je autor performansa s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20087
kamka:P80024,je autor teksta,kamka:C10008,Povezuje kolektivnog agenta odgovornog za djelo izraženo u tekstualnom obliku s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20092
kamka:P80025,je copywriter,kamka:C10008,Povezuje kolektivnog agenta koji je osmislio tekst reklame s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20097
kamka:P80026,je korespondent,kamka:C10008,"Povezuje kolektivnog agenta koji je poslao tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.) s tim djelom.",kamka:P80018,kamd:C10002,kamd:P20102
kamka:P80027,je libretist,kamka:C10008,"Povezuje kolektivnog agenta odgovornog za tekst libreta glazbeno-scenskog djela (opere, operete itd.) ili oratorija s tim djelom.",kamka:P80018,kamd:C10002,kamd:P20107
kamka:P80028,je pisac,kamka:C10008,Povezuje kolektivnog agenta koji je osmislio književno djelo s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20112
kamka:P80029,je scenarist,kamka:C10008,"Povezuje kolektivnog agenta odgovornog za ideju i sinopsis i/ili scenarij radijskog ili televizijskog programa, stripa, video igre ili drugog narativnog djela iskazanog u slikovnom obliku, osim filma s tim djelom.",kamka:P80018,kamd:C10002,kamd:P20117
kamka:P80030,je tekstopisac,kamka:C10008,Povezuje kolektivnog agenta odgovornog za tekst pjesme s tim djelom.,kamka:P80018,kamd:C10002,kamd:P20122
