CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamm:P11001,ima vrstu mjesta,kamm:C10011,"Povezuje mjesto s izrazom, nadzirani nazivom, kôdom ili drugom oznakom koja označava vrstu kojoj pripada mjesto s obzirom na svoja prirodna ili društvena obilježja.",kamjo:P10001,,
kamm:P11002,ima geografski položaj mjesta,kamm:C10011,Povezuje mjesto s oznakom granicâ suvremenog ili povijesnog mjesta na Zemlji.,,,
kamm:P11003,je mjesto povezano s jedinicom opisa,kamm:C10011,Povezuje mjesto s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10013
kamm:P11004,je mjesto povezano s djelom,kamm:C10011,Povezuje mjesto s djelom.,kamm:P11003,kamd:C10002,kamd:P20290
kamm:P11005,je mjesto nastanka djela,kamm:C10011,Povezuje mjesto s djelom na kojemu je djelo nastalo.,kamm:P11004,kamd:C10002,kamd:P20291
kamm:P11006,je mjesto predmet djela,kamm:C10011,"Povezuje mjesto s izrazom, nadziranim nazivom, imenom, naslovom, identifikatorom ili drugom nadziranom oznakom koja označava temu kojom se bavi ili koju prikazuje djelo.
",kamm:P11004,kamd:C10002,kamd:P20321
kamm:P11007,je pretpostavljeno mjesto nastanka djela,kamm:C10011,Povezuje mjesto s djelom za koje mjesto se opravdano pretpostavlja da je povezano s nastankom djela . ,kamm:P11004,kamd:C10002,kamd:P20293
kamm:P11008,je navodno mjesto nastanka djela,kamm:C10011,Povezuje mjesto s djelom za koje se mjesto pogrešno ili neistinito navodi da je povezano s nastankom djela. ,kamm:P11004,kamd:C10002,kamd:P20292
kamm:P11009,je mjesto povezano s izrazom,kamm:C10011,Povezuje mjesto s izrazom.,kamm:P11003,kami:C10003,kami:P30233
kamm:P11010,je mjesto nastanka izraza,kamm:C10011,Povezuje mjesto s realizacijom određenog izraza djela.,kamm:P11009,kami:C10003,kami:P30234
kamm:P11011,je mjesto povezano s pojavnim oblikom,kamm:C10011,Povezuje mjesto s pojavnim oblikom.,kamm:P11003,kampo:C10004,kampo:P40300
