CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamn:P13001,ima kategoriju nomena,kamn:C10013,Povezuje nomen s vrstom kojoj pripada taj nomen.,kamjo:P10001,,
kamn:P13002,ima nomenski niz,kamn:C10013,Povezuje nomen s kombinacijom znakova koja tvori ime povezano s entitetom putem tog nomena.,,,
kamn:P13003,ima shemu,kamn:C10013,Povezuje nomen sa shemom u kojoj je taj nomen uspostavljen.,,,
kamn:P13004,ima ciljanu publiku,kamn:C10013,Povezuje nomen s klasom korisnika za koju se nomen smatra prikladnim ili prioritetnim.,,,
kamn:P13005,ima kontekst uporabe,kamn:C10013,Povezuje nomen s informacijama o kontekstu (kontekstima) u kojem agent koristi nomen putem kojeg se upućuje na njega.,,,
kamn:P13006,ima referentni izvor,kamn:C10013,Povezuje nomen s izvorom u kojem se nalazi dokaz o uporabi entiteta nomen.,,,
kamn:P13007,ima jezik,kamn:C10013,Povezuje nomen s jezikom na kojem je nomen iskazan.,,,
kamn:P13008,ima pismo,kamn:C10013,Povezuje nomen s pismom na kojem je nomen zabilježen.,,,
kamn:P13009,ima konverziju pisma,kamn:C10013,"Povezuje nomen s pravilom, sustavom ili standardom korištenim za stvaranje nomena koji je izveden na temelju drugog, različitog nomena na drugom, različitom pismu.",,,
kamn:P13010,je nomen povezan s jedinicom opisa,kamn:C10013,Povezuje nomen s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10015
kamn:P13011,je oznaka za jedinicu opisa,kamn:C10013,"Povezuje imene, naziv ili drugu oznaku pomoću koje se u informacijskom sustavu identificira i/ili pronalaze i okupljaju podaci o jedinici opisa s jedinicom opisa.",kamn:P13010,kamjo:C10001,kamjo:P10016
kamn:P13012,je nadzirana pristupnicua za jedinicu opisa,kamn:C10013,Povezuje nadziranu pristupnicu koja je preuzeta iz nadziranog rječnika ili oblikovana prema određenim pravilima s jedinicom opisa.,kamn:P13011,kamjo:C10001,kamjo:P10017
kamn:P13013,je usvojena pristupnica za jedinicu opisa,kamn:C10013,Povezuje usvojenu pristupnicu koja unutar nekog sustava jednoznačno identificira jedinicu opisa i okuplja podatke o jedinici opisa s jedinicom opisa.,kamn:P13012,kamjo:C10001,kamjo:P10018
kamn:P13014,je varijantna pristupnica za jedinicu opisa,kamn:C10013,Povezuje varijantnu pristupnicu koja nije odabrana za usvojenu pristupnicu s jedinicom opisa.,kamn:P13012,kamjo:C10001,kamjo:P10019
kamn:P13015,je identifikator za jedinicu opisa,kamn:C10013,"Povezuje brojčanu ili slovno-brojčanu oznaku, namijenjenoj strojnoj ili ljudskoj uporabi, koja unutar određenog sustava jednoznačno identificira jedinicu opisa s jedinicom opisa.",kamn:P13011,kamjo:C10001,kamjo:P10020
kamn:P13016,ima napomenu o nomenu,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamjo:P10022,,
kamn:P13017,ima napomenu o identifikaciji jedinice opisa,kamn:C10013,"Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o jedinici opisa (identifikator jedinice opisa, nadziranim pristupnicama za jedinicu opisa) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamn:P13016,,
kamn:P13018,ima napomenu o odnosu nomena i drugih jedinica opisa,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i druge jedinice opisa ili više drugih kamjo:C10001.,kamn:P13016,,
kamn:P13019,je nomen povezan s djelom,kamn:C10013,Povezuje nomen s djelom.,kamn:P13010,kamd:C10002,kamd:P20298
kamn:P13020,je oznaka za djelo,kamn:C10013,Povezuje oznaku s djelom.,kamn:P13019,kamd:C10002,kamd:P20299
kamn:P13021,je nadzirana pristupnica za djelo,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira djelo i okuplja podatke o djelu s djelom.",kamn:P13020,kamd:C10002,kamd:P20300
kamn:P13022,je usvojena pristupnica za djelo,kamn:C10013,"Povezuje usvojenu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira djelo i okuplja podatke o djelu s djelom. ",kamn:P13021,kamd:C10002,kamd:P20301
kamn:P13023,je varijantna pristupnica za djelo,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji identificiraju djelo unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu s djelom.",kamn:P13021,kamd:C10002,kamd:P20302
kamn:P13024,je naslov djela,kamn:C10013,Povezuje naslov djela s djelom.,kamn:P13020,kamd:C10002,kamd:P20303
kamn:P13025,je usvojeni naslov djela,kamn:C10013,Povezuje riječ ili niz riječi i/ili znakova kojima se daje prednost u imenovanju djela unutar određenog sustava s djelom. ,kamn:P13024,kamd:C10002,kamd:P20304
kamn:P13026,je vrsta usvojenog naslova djela,kamn:C10013,"Povezuje riječ, izraz ili drugu oznaku koja označava kojoj vrsti naslova pripada usvojeni naslov djela.",,,
kamn:P13027,je varijantni naslov djela,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji imenuju djelo unutar nekog sustava, a nisu odabrani za usvojeni naslov djela s djelom.",kamn:P13024,kamd:C10002,kamd:P20305
kamn:P13028,je vrsta varijantnog naslova djela,kamn:C10013,"Povezuje riječ, izraz ili drugu oznaku koja označava kojoj vrsti naslova pripada varijantni naslov djela.",,,
kamn:P13029,je dodatno obilježje djela,kamn:C10013,"Povezuje riječ, brojku ili niz riječi, brojki ili drugih znakova, koji služi razlikovanju djelâ koja imaju isti naslov ili razlikovanju djela od drugih kamjo:C10001 čije je ime jednako ili slično njegovom naslovu.",,,
kamn:P13030,je ključni naslov,kamn:C10013,"Povezuje naslov u standardiziranom obliku koji je serijskom djelu dodijelio nadležni nacionalni ured za ISSN (International standard serial number, Međunarodni standardni broj serijske publikacije) s djelom.",kamn:P13020,kamd:C10002,kamd:P20308
kamn:P13031,je identifikator djela,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku koja unutar određenog sustava jednoznačno identificira djelo sadržano u jedinici građe s djelom.,kamn:P13020,kamd:C10002,kamd:P20309
kamn:P13032,je brojčana i kronološka oznaka serijskog djela,kamn:C10013,"Povezuje brojke, slova, kratice ili druge oznake koje označavaju prvi ili najraniji dostupni te posljednji uzastopni dio objavljenoga serijskog djela (godište, svezak, broj itd.) i/ili vrijeme njihova nastanka.  ",,,
kamn:P13033,ima napomenu o nomenu djela,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu djela koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13034,ima napomenu o identifikaciji djela,kamn:C10013,"Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o djelu (identifikator djelu, usvojeni naslov djela, varijantni naslov djela) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamn:P13033,,
kamn:P13035,ima napomenu o odnosu nomena i djela,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i djela ili više drugih djela.,kamn:P13033,,
kamn:P13036,je nomen povezan s izrazom,kamn:C10013,Povezuje nomen s izrazom.,kamn:P13010,kami:C10003,kami:P30237
kamn:P13037,je oznaka za izraz,kamn:C10013,Povezuje oznaku s izrazom.,kamn:P13036,kami:C10003,kami:P30238
kamn:P13038,je nadzirana pristupnica za izraz,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira izraz i okuplja podatke o izrazu s izrazom.",kamn:P13037,kami:C10003,kami:P30239
kamn:P13039,je usvojena pristupnica za izraz,kamn:C10013,"Povezuje usvojenu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira izraz i okuplja podatke o izrazu s izrazom. ",kamn:P13038,kami:C10003,kami:P30240
kamn:P13040,je varijantna pristupnica za izraz,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji identificiraju djelo unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu s izrazom.",kamn:P13038,kami:C10003,kami:P30240
kamn:P13041,je dodatno obilježje izraza,kamn:C10013,"Povezuje riječ, brojku ili niz riječi, brojki ili drugih znakova, koji služi razlikovanju izraza koja imaju isti naslov ili razlikovanju izraza od drugih kamjo:C10001 čije je ime jednako ili slično njegovom naslovu.",,,
kamn:P13042,je identifikator izraza,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku koja unutar određenog sustava jednoznačno identificira izraz sadržano u jedinici građe.,kamn:P13037,kami:C10003,kami:P30243
kamn:P13043,ima napomenu o nomenu izraza,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu izraza koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13044,ima napomenu o identifikaciji izraza,kamn:C10013,"Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o izrazu (identifikator izraza, usvojeni naslov izraza, varijantni naslov izraza) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamn:P13043,,
kamn:P13045,ima napomenu o odnosu nomena i izraza,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i izraza ili više drugih izraza.,kamn:P13043,,
kamn:P13046,je nomen povezan s pojavnim oblikom,kamn:C10013,Povezuje nomen s pojavnim oblikom.,kamn:P13010,kampo:C10004,kampo:P40309
kamn:P13047,je oznaka za pojavni oblik,kamn:C10013,Povezuje oznaku s pojavnim oblikom.,kamn:P13046,kampo:C10004,kampo:P40310
kamn:P13048,je nadzirana pristupnica za pojavni oblik,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira pojavni oblik i okuplja podatke o pojavnom obliku s pojavnim obliikom.",kamn:P13047,kampo:C10004,kampo:P40311
kamn:P13049,je usvojena pristupnica za pojavni oblik,kamn:C10013,"Povezuje usvojenu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira pojavni oblik i okuplja podatke o pojavnom obliku s pojavnim oblikom. ",kamn:P13048,kampo:C10004,kampo:P40312
kamn:P13050,je varijantna pristupnica za pojavni oblik,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji identificiraju pojavni oblik unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu s pojavnim oblikom.",kamn:P13048,kampo:C10004,kampo:P40313
kamn:P13051,je naslov pojavnog oblika,kamn:C10013,Povezuje naslov djela s pojavnim oblikom.,kamn:P13047,kampo:C10004,kampo:P40314
kamn:P13052,je usvojeni naslov pojavnog oblika,kamn:C10013,Povezuje riječ ili niz riječi i/ili znakova kojima se daje prednost u imenovanju pojavnog oblika unutar određenog sustava s pojavnim oblikom. ,kamn:P13051,kampo:C10004,kampo:P40315
kamn:P13053,je varijantni naslov pojavnog oblika,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji imenuju pojavni oblik unutar nekog sustava, a nisu odabrani za usvojeni naslov pojavnog oblika s pojavnim oblikom.",kamn:P13051,kampo:C10004,kampo:P40316
kamn:P13054,je dodatno obilježje naslova pojavnog oblika,kamn:C10013,"Povezuje riječ, brojku ili niz riječi, brojki ili drugih znakova, koji služi razlikovanju pojavnih oblika koja imaju isti naslov ili razlikovanju pojavnog oblika od drugih jedinica opisa čije je ime jednako ili slično njegovom naslovu.",,,
kamn:P13055,je skraćeni naslov ,kamn:C10013,"Povezuje skraćeni oblik stvarnog naslova koji je serijskoj jedinici građe u svrhu identifikacije i/ili indeksiranja dodijelio nadležni nacionalni ured za ISSN, služba za indeksiranje ili neka druga agencija s pojavnim oblikom.",,,
kamn:P13056,je identifikator pojavnog oblika,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku koja unutar određenog sustava jednoznačno identificira pojavni oblik sadržan u jedinici građe s pojavnim oblikom.,kamn:P13047,kampo:C10004,kampo:P40319
kamn:P13057,ima napomenu o nomenu pojavnog oblika,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu pojavnog oblika koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13058,ima napomenu o identifikaciji pojavnog oblika,kamn:C10013,"Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o pojavnom obliku (identifikator pojavnog oblika, usvojeni naslov pojavnog oblika, varijantni naslov pojavnog oblika) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamn:P13057,,
kamn:P13059,ima napomenu o odnosu nomena i pojavnog oblika,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i pojavnih oblika ili više drugih pojavnih oblika.,kamn:P13057,,
kamn:P13060,je nomen povezan s primjerkom,kamn:C10013,Povezuje nomen s primjerkom.,kamn:P13010,kamp:C10005,kamp:P50117
kamn:P13061,je oznaka za primjerak,kamn:C10013,Povezuje oznaku s primjerkom.,kamn:P13060,kamp:C10005,kamp:P50118
