CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamo:P70001,je osoba povezana s jedinicom opisa,kamo:C10007,Povezuje osobu s jedinicom opisa.,kama:P60002,kamjo:C10001,kamjo:P10009
kamo:P70002,je osoba povezana s nomenom za osobu,kamo:C10007,Povezuje osobu s nomenom za osobu.,kamo:P70001,kamn:C10013,kamn:P13080
kamo:P70003,ima oznaku za osobu,kamo:C10007,Povezuje osobu s oznakom za osobu.,kamo:P70002,kamn:C10013,kamn:P13081
kamo:P70004,ima identifikator osobe,kamo:C10007,Povezuje osobu s brojčanom ili slovno-brojčanom oznakom ili skupom znakova koji jednoznačno identificira osobu unutar određenog sustava.,kamo:P70003,kamn:C10013,kamn:P13082
kamo:P70005,ima nadziranu pristupnicu za osobu,kamo:C10007,Povezuje osobu s nadziranom pristupnicom za osobu.,kamo:P70003,kamn:C10013,kamn:P13083
kamo:P70006,ima usvojenu pristupnicu za osobu,kamo:C10007,"Povezuje osobu s riječi, izrazom ili skupom znakova koji jednoznačno i dosljedno imenuje osobu unutar određenog sustava.",kamo:P70005,kamn:C10013,kamn:P13084
kamo:P70007,ima varijantnu pristupnicu za osobu,kamo:C10007,"Povezuje osobu s riječi, izrekom ili skupom znakova koji identificiraju osobu unutar određenog sustava, a nisu odabrani za usvojeno ime osobe.",kamo:P70005,kamn:C10013,kamn:P13085
kamo:P70008,ima ime osobe,kamo:C10007,Povezuje osobu s imenom osobe.,kamo:P70003,kamn:C10013,kamn:P13086
kamo:P70009,ima usvojeno ime osobe,kamo:C10007,"Povezuje osobu s riječi, izrazom ili skupom znakova koji dosljedno imenuje osobu unutar određenog sustava.",kamo:P70008,kamn:C10013,kamn:P13087
kamo:P70010,ima varijantno ime osobe,kamo:C10007,"Povezuje osobu s riječi, izrekom ili skupom znakova koji imenuju osobu unutar određenog sustava, a nisu odabrani za usvojeni oblik imena osobe.",kamo:P70008,kamn:C10013,kamn:P13089
kamo:P70011,ima titulu osobe,kamo:C10007,Povezuje osobu s oznakom položaja koji osoba zauzima unutar društvene ili vjerske zajednice.,,,
kamo:P70012,ima dodatno obilježje osobe,kamo:C10007,"Povezuje osobu s riječi, izrekom ili skupom znakova koji razlikuje osobu od drugih osoba s istim oblikom imena.",,,
kamo:P70013,ima funkciju ili djelatnost osobe,kamo:C10007,"Povezuje osobu s izrazom, nadziranim nazivom, identifikatorom ili drugom oznaom za područje ljudskog znanja ili aktivnosti u kojemu osoba sudjeluje ili je sudjelovala, ili kojim se bavi(la).",,,
kamo:P70014,ima zanimanje osobe,kamo:C10007,"Povezuje osobu s izrazom, nadziranim nazivom, identifikatorom ili drugom oznakom za zanimanje kojim se osoba bavi(la).",,,
kamo:P70015,"ima napomenu o funkciji, djelatnosti ili zanimanju osobe",kamo:C10007,"Povezuje osobu s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o funkciji, djelatnosti ili zanimanju kojim se osoba bavi(la).",kamo:P70018,,
kamo:P70016,ima jezik osobe,kamo:C10007,"Povezuje osobu s jezikom kojim se osoba služi(la) u svom javnom djelovanju, uključujući pisanje, kazivanje, govore, glumu itd.",,,
kamo:P70017,ima biografiju osobe,kamo:C10007,Povezuje osobu s kratkim nestrukturiranim tekstom koji opisuje najvažnije događaje iz života i javnog djelovanja osobe.,,,
kamo:P70018,ima napomenu o osobi,kamo:C10007,Povezuje osobu s tekstom u kojemu se navode pojedinosti o osobi koje nisu iskazane u drugim elementima opisa.,kamjo:P10022,,
kamo:P70019,je osoba povezana s djelom,kamo:C10007,Povezuje osobu s djelom.,kamo:P70001,kamd:C10002,kamd:P20036
kamo:P70020,je osoba povezana s izrazom,kamo:C10007,Povezuje osobu s izrazom.,kamo:P70001,kami:C10003,kami:P30033
kamo:P70021,je osoba povezana s pojavnim oblikom,kamo:C10007,Povezuje osobu s pojavnim oblikom.,kamo:P70001,kampo:C10004,kampo:P40096
kamo:P70022,je osoba povezana s primjerkom,kamo:C10007,Povezuje osobu s primjerkom.,kamo:P70001,kamp:C10005,kamp:P50026
kamo:P70023,je osoba čije ovlasti proizlaze iz djela,kamo:C10007,"Povezuje osobu čije se ovlasti, funkcije i odgovornosti temelje na djelu s tim djelom.",kamo:P70019,kamd:C10002,kamd:P20041
