CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kampo:P40001,ima stvarni prikaz pojavnog oblika,kampo:C10004,"Povezuje pojavni oblik s riječi ili skupom riječi i/ili znakova koji identificiraju jedinicu građe i pružaju informacije o mjestu, vremenu i agentima povezanima s nastankom jedinice građe, a navedeni su na samoj jedinici.

",,,
kampo:P40002,ima napomenu o stvarnom prikazu pojavnog oblika,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode pojedinosti o stvarnom prikazu, uključujući informacije o rasporedu i izvorima podataka stvarnog prikaza na jedinici građe.
",kampo:P40321,,
kampo:P40003,ima podatak o stvarnom naslovu,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji imenuju jedinicu građe, a navedeni su na samoj jedinici.",kampo:P40001,,
kampo:P40004,ima glavni stvarni naslov,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji primarno imenuju jedinicu građe, a navedeni su na samoj jedinici.
",kampo:P40003,,
kampo:P40005,ima usporedni stvarni naslov,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni u istom izvoru podataka na jedinici građe kao i glavni stvarni naslov i predstavljaju njegovu istoznačnicu na drugom jeziku i/ili pismu.
",kampo:P40003,,
kampo:P40006,ima dodatak glavnom stvarnom naslovu,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji pobliže određuju, objašnjavju ili upotpunjuju glavni stvarni naslov, a i navedeni su na jedinici građe, na jeziku glavnog stvarnog naslova i u istom izvoru podataka kao i glavni stvarni naslov.",kampo:P40003,,
kampo:P40007,ima usporedni dodatak glavnom stvarnom naslovu,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji predstavljaju istoznačnicu dodatka glavnom stvarnom naslovu na drugom jeziku i/ili pismu, a navedeni su u istom izvoru podataka na jedinici građe kao i dodatak glavnom stvarnom naslovu.",kampo:P40003,,
kampo:P40008,ima napomenu o stvarnom naslovu,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode objašnjenja i druge pojedinosti o stvarnom naslovu, uključujući izvor na jedinici građe iz kojega je podatak o stvarnom naslovu preuzet.
",kampo:P40002,,
kampo:P40009,ima podatak o odgovornosti koji se odnosi na stvarni naslov,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji označavaju identitet agenta odgovornog za sadržaj jedinice građe ili njezinog dijela i/ili vrstu njegove odgovornosti, a navedeni su na jedinici građe na jeziku i/ili pismu glavnog stvarnog naslova.
",kampo:P40001,,
kampo:P40010,ima usporedni podatak o odgovornosti koji se odnosi na stvarni naslov,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji se javljaju na jedinici građe kao istoznačnica podatka o odgovornosti koji se odnosi na stvarni naslov na drugom jeziku i/ili pismu.
",kampo:P40009,,
kampo:P40011,ima napomenu o odgovornosti koja se odnosi na stvarni naslov,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode objašnjenja i druge pojedinosti o podatku o odgovornosti koji se odnosi na stvarni naslov i/ili usporednom podatku o odgovornosti koji se odnosi na stvarni naslov, uključujući izvor na jedinici građe iz kojega su ti podaci preuzeti.",kampo:P40002,,
kampo:P40012,ima podatak o izdanju,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju sve primjerke jedinice građe koje je objavio ili proizveo isti agent iz načelno istog izvornog unosa, kao i identitet i vrstu odgovornosti agenta odgovornog za sadržaj i/ili oblik unosa.",kampo:P40001,,
kampo:P40013,ima oznaku izdanja,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe na jeziku i/ili pismu glavnoga stvarnog naslova, a označavaju sve primjerke jedinice građe koje je objavio ili proizveo isti agent iz načelno istog izvornog unosa.
",kampo:P40012,,
kampo:P40014,ima usporednu oznaku izdanja,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji se javljaju na jedinici građe kao istoznačnica oznake izdanja na drugom jeziku i/ili pismu.
",kampo:P40012,,
kampo:P40015,ima dodatnu oznaku izdanja,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe na jeziku i/ili pismu glavnog stvarnog naslova, a označavaju preradbu unutar nekog izdanja (npr. novi otisak, tiskarsku varijantu itd.) ili alternativnu oznaku za izdanje.",kampo:P40012,,
kampo:P40016,ima usporednu dodatnu oznaku izdanja,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe kao istoznačnica dodatne oznake izdanja na drugom jeziku i/ili pismu.

",kampo:P40012,,
kampo:P40017,ima podatak o odgovornosti koji se odnosi na izdanje,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skup riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju identitet agenta odgovornog za sadržaj određenog izdanja jedinice građe (osim prvog izdanja) i/ili vrstu njegove odgovornosti.",kampo:P40012,,
kampo:P40018,ima usporedni podatak o odgovornosti koji se odnosi na izdanje,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe kao istoznačnica podatka o odgovornosti koji se odnosi na izdanje na drugom jeziku i/ili pismu.",kampo:P40012,,
kampo:P40019,ima napomenu o izdanju,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode navode objašnjenja i druge pojedinosti o izdanju, uključujući izvor na jedinici građe iz kojega je podatak o izdanju preuzet.",kampo:P40002,,
kampo:P40020,"ima podatak o izdavanju, proizvodnji ili raspačavanju",kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju mjesto i vrijeme izdavanja, proizvodnje i/ili raspačavanja jedinice građe, identitet agenta koji je odgovoran za izdavanje, proizvodnju i/ili raspačavanje te vrstu njegove odgovornosti.",kampo:P40001,,
kampo:P40021,"ima ime mjesta izdavanja, proizvodnje ili raspačavanja",kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju mjesto gdje je jedinica građe objavljena, proizvedena i/ili raspačavana (obično sjedište nakladnika, proizvođača i/ili raspačavatelja).",kampo:P40020,,
kampo:P40022,"ima usporedno ime mjesta izdavanja, proizvodnje ili raspačavanja",kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe kao istoznačnica mjesta izdavanja, proizvodnje ili raspačavanja na drugom jeziku i/ili pismu.",kampo:P40020,,
kampo:P40023,"ima ime nakladnika, proizvođača ili raspačavatelja",kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju identitet agenta odgovornog za izdavanje, proizvodnju i/ili raspačavanje jedinice građe i vrstu njegove odgovornosti. ",kampo:P40020,,
kampo:P40024,"ima usporedno ime nakladnika, proizvođača ili raspačavatelja",kampo:C10004,"Povezuje pojavni oblik s s riječi, znakom ili skupom riječi i/ili znakova koji se javljaju na jedinici građe kao istoznačnica imena nakladnika, proizvođača ili raspačavatelja na drugom jeziku i/ili pismu.",kampo:P40020,,
kampo:P40025,"ima oznaku godine izdavanja, proizvodnje ili raspačavanja",kampo:C10004,"Povezuje pojavni oblik s nizom brojki i/ili drugih znakova koji su navedeni na jedinici građe, a označavaju vrijeme objavljivanja jedinice građe, tj. njezina puštanja u prodaju ili javno raspačavanje.",kampo:P40020,,
kampo:P40026,"ima napomenu o izdavanju, proizvodnji ili raspačavanju ",kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode navode objašnjenja i druge pojedinosti o izdavanju, proizvodnji ili raspačavanju jedinice građe, uključujući izvor na jedinici građe iz kojega su preuzeti podaci o izdavanju, proizvodnji ili raspačavanju.",kampo:P40002,,
kampo:P40027,ima podatak o tiskanju ili izradi,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju mjesto i vrijeme tiskanja ili ručne ili manufakturne izrade jedinice građe, kao i identitet agenta koji je odgovoran za tiskanje ili izradu te vrstu njegove odgovornosti.",kampo:P40001,,
kampo:P40028,ima ime mjesta tiskanja ili izrade,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju mjesto gdje je jedinica građe otisnuta ili izrađena.",kampo:P40027,,
kampo:P40029,ima ime tiskara ili izrađivača,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju identitet agenta odgovornog za tiskanje ili izradu jedinice građe i vrstu njegove odgovornosti. ",kampo:P40027,,
kampo:P40030,ima oznaku godine tiskanja ili izrade ,kampo:C10004,"Povezuje pojavni oblik s nizom brojki i/ili drugih znakova koji su navedeni na jedinici građe, a označavaju vrijeme kad je jedinica građe otisnuta ili izrađena.",kampo:P40027,,
kampo:P40031,ima napomenu o tiskanju ili izradi,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode objašnjenja i druge pojedinosti o tiskanju ili izradi jedinice građe, uključujući izvor na jedinici građe iz kojega su preuzeti podaci o tiskanju ili izradi.",kampo:P40002,,
kampo:P40032,ima oznaku godine copyrighta,kampo:C10004,"Povezuje pojavni oblik s nizom brojki i drugih znakova koji su navedeni na jedinici građe, a označavaju vrijeme utvrđivanja zakonskog prava kojim se sadržaj jedinice građe ili njegov dio štiti od neovlaštenog kopiranja ili prodaje.",kampo:P40001,,
kampo:P40033,ima napomenu o copyrightu,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode objašnjenja i druge pojedinosti o copyrightu, uključujući izvor na jedinici građe iz kojega je preuzeta oznaka godine copyrighta.",kampo:P40002,,
kampo:P40034,ima podatak o nakladničkoj cjelini,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju nakladničku cjelinu kojoj jedinica građe pripada, identitet agenta koji je odgovoran za sadržaj nakladničke cjeline, identifikator nakladničke cjeline i/ili numeraciju jedinice građe unutar nakladničke cjeline.",kampo:P40001,,
kampo:P400035,ima stvarni naslov nakladničke cjeline,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a imenuju nakladničku cjelinu kojoj jedinica građe pripada.",kampo:P40034,,
kampo:P40036,ima podatak o odgovornosti koji se odnosi na nakladničku cjelinu,kampo:C10004,"Povezuje pojavni oblik s riječi, znakom ili skupom riječi i/ili znakova koji su navedeni na jedinici građe, a označavaju identitet agenta odgovornog za sadržaj nakladničke cjeline kojoj jedinica građe pripada, kao i vrstu njegove odgovornosti.",kampo:P40034,,
kampo:P40037,ima međunarodni standardni broj nakladničke cjeline,kampo:C10004,"Povezuje pojavni oblik s koja jednoznačno identificira nakladničku cjelinu kojoj pripada jedinica građe, a dodijelio ju je nadležni nacionalni ured za ISBN ili nadležni nacionalni ured za ISSN i navedena je na jedinici građe.",kampo:P40034,,
kampo:P40038,ima numeraciju nakladničke cjeline,kampo:C10004,"Povezuje pojavni oblik s oznakom koja je navedena na jedinici građe, a označava slijed jedinice građe unutar nakladničke cjeline.",kampo:P40034,,
kampo:P40039,ima napomenu o nakladničkoj cjelini,kampo:C10004,"Povezuje pojavni oblik s tekstom u kojemu se navode objašnjenja i druge pojedinosti o nakladničkoj cjelini kojoj pripada jedinica građe, uključujući izvor na jedinici građe iz kojega su podaci o nakladničkoj cjelini preuzeti.",kampo:P40002,,
