CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamp:P50001,ima identifikator primjerka,kamp:C10005,Povezuje primjerak s brojčanom ili slovno-brojčanom oznakom koja unutar određenog sustava jednoznačno identificira primjerak jedinice građe.,kamp:P50118,kamn:C10013,kamn:P13065
kamp:P50002,ima usvojenu pristupnicu za primjerak,kamp:C10005,"Povezuje primjerak s nadziranom riječi, izrazom ili nizom riječi i/ili drugih oznaka, koji unutar nekog sustava jednoznačno identificira primjerak i okuplja podatke o njemu. ",kamp:P50119,kamn:C10013,kamn:P13063
kamp:P50003,ima napomenu o identifikaciji primjerka,kamp:C10005,Povezuje primjerak s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o primjerku i/ili izvorima iz kojih su identifikacijski podaci preuzeti.,kamp:P50122,,
kamp:P50004,ima dostupnost primjerka,kamp:C10005,Povezuje primjerak s izrazom koji označava uvjete pod kojima ustanova omogućuje korisnicima pristup primjerku jedinice građe.,,,
kamp:P50005,ima izvorno okruženje,kamp:C10005,Povezuje primjerak s tekstom koji opisuje smještaj i položaj jedinice građe u okruženju kojemu je izvorno bila namijenjena.,,,
kamp:P50006,ima dodane natpise i oznake,kamp:C10005,"Povezuje primjerak s riječima, znakovima ili skupovima riječi ili znakova koji se javljaju na jedinici građe, a nisu dio njezina izvornog oblikovanja, proizvodnje ili objavljivanja, već su ih tijekom vremena dodali posjednici, vlasnici, korisnici i drugi agenti.",,,
kamp:P50007,ima napomenu o dodanim natpisima i oznakama,kamp:C10005,Povezuje primjerak s tekstom u kojemu se navode objašnjenja i druge pojedinosti o dodanim natpisima i oznakama na jedinici građe.,kamp:P50122,,
kamp:P50008,ima izložbe,kamp:C10005,Povezuje primjerak s riječi ili tekstom koji identificira povremene izložbe na kojima je jedinica građe izlagana prije i nakon pohrane u ustanovi u kojoj se trenutno nalazi. ,,,
kamp:P50009,ima način nabave,kamp:C10005,"Povezuje primjerak s riječi, znakom ili nizom riječi ili znakova koji označava neposredan način na koji je jedinica građe dospjela u ustanovu u kojoj je pohranjena.",,,
kamp:P50010,ima napomenu o nabavi,kamp:C10005,"Povezuje primjerak s tekstom u kojemu se navode objašnjenja i druge pojedinosti o neposrednoj nabavi jedinice građe, uključujući način, izvor, mjesto i vrijeme nabave.
",kamp:P50122,,
