CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamvr:P12001,ima vrstu vremenskog raspona,kamvr:C10012,"Povezuje vremenski raspon s izrazom, nadziranim nazivom, kôdom ili drugom oznakom koja označava vrstu kojoj vremenski raspon pripada s obzirom na svoje trajanje.",kamjo:P10001,,
kamvr:P12002,ima vremenski raspon povezan s jedinicom opisa,kamvr:C10012,Povezuje vremenski raspon s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10014
kamvr:P12003,je vremenski raspon povezan s djelom,kamvr:C10012,Povezuje vremenski raspon s djelom.,kamvr:P12002,kamd:C10002,kamd:P20294
kamvr:P12004,je navodno vrijeme nastanka djela,kamvr:C10012,Povezuje vremenski raspon s djelom za koji se vremenski raspon pogrešno ili neistinito navodi da je povezan s nastankom djela.,kamvr:P12003,kamd:C10002,kamd:P20295
kamvr:P12005,je pretpostavljeno vrijeme nastanka djela,kamvr:C10012,Povezuje vremenski raspon s  djelom za koji se vremenski raspon opravdano pretpostavlja da je povezan s nastankom djela.,kamvr:P12003,kamd:C10002,kamd:P20296
kamvr:P12006,je vrijeme nastanka djela,kamvr:C10012,Povezuje vremenski raspon s djelom u kojemu je vremenskom rasponu djelo nastalo.,kamvr:P12003,kamd:C10002,kamd:P20297
kamvr:P12007,je vremenski raspon povezan s izrazom,kamvr:C10012,Povezuje vremenski raspon s izrazom.,kamvr:P12002,kami:C10003,kami:P30235
kamvr:P12008,je vrijeme nastanka izraza,kamvr:C10012,Povezuje vremenski raspon s izrazom za koji je vremenski raspon povezan realizacijom određenog izraza djela.,kamvr:P12007,kami:C10003,kami:P30236
kamvr:P12009,je vremenski raspon povezan s pojavnim oblikom,kamvr:C10012,Povezuje vremenski raspon s pojavnim oblikom.,kamvr:P12002,kampo:C10004,kampo:P40305
kamvr:P12010,je vrijeme izdavanja pojavnog oblika,kamvr:C10012,Povezuje vremenski raspon s pojavnim oblikom koji je u tom vremenskom rasponu izdan.,kamvr:P12009,kampo:C10004,kampo:P40306
kamvr:P12011,je vrijeme proizvodnje pojavnog oblika,kamvr:C10012,Povezuje vremenski raspon s pojavnim oblikom koji je u tom vremenskom rasponu proizveden.,kamvr:P12009,kampo:C10004,kampo:P40307
kamvr:P12012,je vrijeme tiskanja pojavnog oblika,kamvr:C10012,Povezuje vremenski raspon s pojavnim oblikom koji je u tom vremenskom rasponu tiskan.,kamvr:P12009,kampo:C10004,kampo:P40308
kamvr:P12013,je vremenski raspon povezan s primjerkom,kamvr:C10012,Povezuje vremenski raspon s primjerkom.,kamvr:P12002,kamp:C10005,kamp:P50031
kamvr:P12014,je vrijeme konzervacije ili restauracije primjerka,kamvr:C10012,Povezuje vremenski raspon s primjerkom nad kojim su izvedeni konzervatorski i/ili restauratorski postupci u tom vremenskom rasponu.,kamvr:P12013,kamp:C10005,kamp:P50130
kamvr:P12015,je vrijeme nabave primjerka,kamvr:C10012,Povezuje vremenski raspon s primjerkom koji je u tom vremenskom rasponu nabavljen.,kamvr:P12013,kamp:C10005,kamp:P50132
kamvr:P12016,je vrijeme nalaska primjerka,kamvr:C10012,Povezuje vremenski raspon s primjerkom koji je u tom vremenskom rasponu pronađen.,kamvr:P12013,kamp:C10005,kamp:P50133
kamvr:P12017,je vremenski raspon povezan s agentom,kamvr:C10012,Povezuje vremenski raspon s agentom.,kamvr:P12002,kama:C10006,kama:P60011
kamvr:P12018,je vremenski raspon povezan s osobom,kamvr:C10012,Povezuje vremenski raspon s osobom.,kamvr:P12017,kamo:C10007,kamo:P70196
kamvr:P12019,je vrijeme djelovanja osobe,kamvr:C10012,Povezuje vremenski raspon s osobom koja je u tom vremenskom rasponu djelovala.,kamvr:P12018,kamo:C10007,kamo:P70197
kamvr:P12020,je vrijeme obnašanja dužnosti ili položaja osobe,kamvr:C10012,Povezuje vremenski raspon s osobom koja je u tom vremenskom rasponu obnašala određenu dužnost ili položaj.  ,kamvr:P12018,kamo:C10007,kamo:P70198
kamvr:P12021,je vrijeme rođenja osobe,kamvr:C10012,Povezuje vremenski raspon s osobom koja je u tom vremenskom rasponu rođena.,kamvr:P12018,kamo:C10007,kamo:P70199
kamvr:P12022,je vrijeme smrti osobe,kamvr:C10012,Povezuje vremenski raspon s osobom koja je u tom vremenskom rasponu umrla.,kamvr:P12018,kamo:C10007,kamo:P70200
kamvr:P12023,je vremenski raspon povezan s kolektivnim agentom,kamvr:C10012,Povezuje vremenski raspon s kolektivnim agentom.,kamvr:P12017,kamka:C10008,kamka:P80009
kamvr:P12024,je vremenski raspon povezan s korporativnim tijelom,kamvr:C10012,Povezuje vremenski raspon s korporativnim tijelom.,kamvr:P12023,kamkt:C10009,kamkt:P90186
kamvr:P12025,je vrijeme djelovanja korporativnog tijela,kamvr:C10012,Povezuje vremenski raspon s korporativnim tijelom koje je u tom vremenskom rasponu djelovalo.,kamvr:P12024,kamkt:C10009,kamkt:P90187
kamvr:P12026,je vrijeme osnutka korporativnog tijela,kamvr:C10012,Povezuje vremenski raspon s korporativnim tijelom koje je u tom vremenskom rasponu osnovano.,kamvr:P12024,kamkt:C10009,kamkt:P90188
kamvr:P12027,je vrijeme završetka djelovanja korporativnog tijela,kamvr:C10012,Povezuje vremenski raspon s korporativnim tijelom koje je u tom vremenskom rasponu prestalo s djelovanjem.,kamvr:P12024,kamkt:C10009,kamkt:P90189
kamvr:P12028,je vremenski raspon povezan s obitelji,kamvr:C10012,Povezuje vremenski raspon s obitelji.,kamvr:P12023,kamob:C10010,kamob:P10184
kamvr:P12029,je vrijeme djelovanja obitelji,kamvr:C10012,Povezuje vremenski raspon s obitelji koja je u tom vremenskom razdoblju djelovala.,kamvr:P12028,kamob:C10010,kamob:P10185
kamvr:P12030,je vremenski raspon povezan s vremenskim rasponom,kamvr:C10012,Povezuje vremenski raspon s vremenskim rasponom.,kamvr:P12002,kamvr:C10012,kamvr:P12030
kamvr:P12031,je vremenska cjelina vremenskog raspona,kamvr:C10012,Povezuje vremenski raspon s vremenskim rasponom koji je njegov dio.,kamvr:P12030,kamvr:C10012,kamvr:P12032
kamvr:P12032,je vremenski dio vremenskog raspona,kamvr:C10012,Povezuje vremenski raspon s vremenskim rasponom kojega je dio.,kamvr:P12030,kamvr:C10012,kamvr:P12031
kamvr:P12033,je vremenski raspon predmet djela,kamvr:C10012,"Povezuje vremenski raspon s izrazom, nadziranim nazivom, imenom, naslovom, identifikatorom ili drugom nadziranom oznakom koja označava temu kojom se bavi ili koju prikazuje djelo.
",kamvr:P12003,kamd:C10002,kamd:P20322
kamvr:P12034,je vrijeme korištenja primjerka,kamvr:C10012,Povezuje vremenski raspon s primjerkom koji je u tom vremenskom rasponu korišten.,kamvr:P12013,kamp:C10005,kamp:P50131
kamvr:P12035,ima nomen za vremenski raspon,kamvr:C10012,Povezuje vremenski raspon s nomenom.,kamvr:P12006,kamn:C10013,kamn:P13152
kamvr:P12036,ima oznaku za vremenski raspon,kamvr:C10012,"Povezuje vremenski raspon s imenom, nazivom ili drugom oznakom pomoću koje se u informacijskom sustavu identificira vremenski raspon i/ili pronalaze i okupljaju podaci o vremenskom rasponu.",kamvr:P12035,kamn:C10013,kamn:P13153
kamvr:P12037,ima nadziranu pristupnicu za vremenski raspon,kamvr:C10012,Povezuje vremenski raspon s pristupnicom koja je preuzeta iz nadziranog rječnika ili oblikovana prema određenim pravilima.,kamvr:P12036,kamn:C10013,kamn:P13154
kamvr:P12038,ima usvojenu pristupnicu za vremenski raspon,kamvr:C10012,"Povezuje vremenski raspon s nadziranom riječi, izrazom ili nizom riječi i/ili drugih oznaka koje unutar nekog sustava jednoznačno identificiraju vremenski raspon i okupljaju podatke o vremenskom rasponu.",kamvr:P12037,kamn:C10013,kamn:P13155
kamvr:P12039,ima varijantnu pristupnicu za vremenski raspon,kamvr:C10012,"Povezuje vremenski raspon s riječi, nizom riječi i/ili drugih oznaka koje identificiraju vremenski raspon unutar određenog sustava, a nisu odabrane za usvojenu pristupnicu. ",kamvr:P12037,kamn:C10013,kamn:P13156
kamvr:P12040,ima identifikator za vremenski raspon,kamvr:C10012,Povezuje vremenski raspon s brojčanom ili slovno-brojčanom oznakom koja unutar određenog sustava jednoznačno identificira vremenski raspon.,kamvr:P12035,kamn:C10013,kamn:P13157
kamvr:P12041,ima napomenu o vremenskom rasponu,kamvr:C10012,"Povezuje vremenski raspon s tekstom koji sadržava pojedinosti o vremenskom rasponu koje se smatraju značajnima, a nisu iskazane u drugim elementima opisa.
",kamjo:P10022,,
kamvr:P12042,ima napomenu o odnosu vremenskog raspona i drugih jedinica opisa,kamvr:C10012," Povezuje vremenski raspon s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između vremenskog raspona i drugog vremenskog raspona ili više drugih vremenskih raspona, odnosno vremenskog raspona i druge ili više drugih jedinica opisa.",kamvr:P12041,,
